,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume error [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,0.1945,0.29712867582917674,-7e-05,1e-05,7.9667224999999995,1.089724735854102e-05,27.68832,1e-05,0.0,0.0,1e-05,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
1,500,500.046,0.0,-0.00865,1e-05,7.942094,1e-05,27.62483,1e-05,0.0028691085398610122,0.0,1e-05,0.01035316604605343,0.010189201705396687,2.51128983851816e-05,24.372,0.09303762679690504,3.5664000000000002,0.01366162508635043,0.6752755696873345,-0.016048499999999244,0.02627335546771353,0.010224855467714285,2.51128983851816e-05,0.014721247906677917,0.00019872025147164727,0.9722288102828947,0.010302367363131861,3.7891834439843864e-06,4.312849775519616e-07,5.372854237939084e-06,6.068729282247135e-07,5082.202302510747
2,1000,994.9289999999999,1.1368683772161603e-13,-0.017480000000000002,1e-05,7.9168025,1e-05,27.558970000000002,1e-05,0.0003714212047420468,0.010189201705396687,2.51128983851816e-05,0.021414842123373783,0.021244916372952,2.906161566370053e-05,23.288,0.10703270528207738,3.6242000000000005,0.005979966555090202,0.6862196387564037,-0.03250999999999937,0.053808993329549915,0.021298993329550542,2.906161566370053e-05,0.030183997404792842,0.0003918056956846313,0.9724803174901159,0.009747138361182612,4.752297462898284e-06,5.320757814156254e-07,6.895981716695457e-06,7.739555369616176e-07,4089.0753706449373
3,1500,1489.9723,0.30674225336593375,-0.026789999999999998,1e-05,7.890075,1e-05,27.489440000000002,1e-05,0.0006418927519758592,0.021244916372952,2.906161566370053e-05,0.033399312139731185,0.03319068475884493,3.920563246299799e-05,22.056,0.06681317235396005,3.7030000000000003,0.004147288270665366,0.7011399266913974,-0.049927499999999014,0.08319072526148417,0.03326322526148516,3.920563246299799e-05,0.04635325322850376,0.0005972576408994526,0.9770584877159268,0.009732365082966266,6.707490881802573e-06,7.511075938570984e-07,7.77455103762313e-06,8.716666074637804e-07,3786.4219590513926
4,2000,1982.3343,0.05762126343644596,-0.03663,1e-05,7.861794999999999,1e-05,27.415975,1e-05,0.0012143996080222492,0.03319068475884493,3.920563246299799e-05,0.04627710748078403,0.04612082292135115,2.929117787421936e-05,20.614,0.05782732917920342,3.7933999999999997,0.025765092664300757,0.7182566021904256,-0.0683675000000008,0.11454005747609215,0.04617255747609135,2.929117787421936e-05,0.06320573490420903,0.0008723576375689161,0.9832233446187923,0.011821852602050417,8.362469964448888e-06,9.427146493265184e-07,8.386054136150099e-06,9.467730425110622e-07,3683.8040668851986
5,2500,2472.1965000000005,0.0572874331768941,-0.04716,1e-05,7.831662,1e-05,27.33788,1e-05,0.0015257140779767712,0.04612082292135115,2.929117787421936e-05,0.060136763673689315,0.05995791621892843,2.9073049668351647e-05,19.438,0.043543082114154405,3.8689999999999998,0.01887855926706272,0.7325709901077547,-0.08797049999999995,0.1479750503456277,0.06000455034562774,2.9073049668351647e-05,0.08061398842495868,0.0010765992184503584,0.9841831823894363,0.010903304090744127,8.812372817461073e-06,9.893478658167455e-07,8.34810613415626e-06,9.388030179681215e-07,3849.51842401567
6,3000,2959.6558,0.07097577051358625,-0.058289999999999995,1e-05,7.799462,1.166190378955375e-05,27.25443,1e-05,0.001469016853311178,0.05995791621892843,2.9073049668351647e-05,0.0750101795204817,0.07466485839475893,2.6560168336640708e-05,18.169999999999998,0.09165151389911687,3.928,0.014953260514015083,0.7437422716834482,-0.10904049999999899,0.18374845138787366,0.07470795138787467,2.6560168336640708e-05,0.09842328284774145,0.0012990754831624252,0.9798362103609044,0.010466113261210924,8.842018863632522e-06,9.908928564415261e-07,8.341014185750351e-06,9.367231024829639e-07,3971.1930829602
7,3500,3445.9158,0.38868002264082013,-0.070305,1e-05,7.764620000000001,1e-05,27.164450000000002,1e-05,0.002722241784774575,0.07466485839475893,2.6560168336640708e-05,0.09155426329953227,0.09133729727935873,3.997889362455893e-05,16.701999999999998,0.06615134163416547,4.0378,0.014076931483814347,0.764532216039569,-0.13186749999999847,0.22324931780631055,0.09138181780631208,3.997889362455893e-05,0.11780236597311658,0.0015549423508842255,0.9855757531878525,0.010464212479948163,1.0973732287705505e-05,1.2295323821180995e-06,9.928020420265997e-06,1.1140796028446544e-06,3525.525421413404
8,4000,3930.2006,0.26380871858220223,-0.08333,1e-05,7.72649,1.581138830080505e-05,27.066185,3.500000000045134e-05,0.0021817739071727906,0.09133729727935873,3.997889362455893e-05,0.1090526166317506,0.10927573049114767,5.445414113368933e-05,15.246,0.03929376540877715,4.1274,0.014691494137765665,0.7814974165341813,-0.1569724999999993,0.266283795956665,0.10931129595666572,5.445414113368933e-05,0.13773221595722518,0.0018324666166033812,0.9846866236657748,0.01053851904551936,1.1790292327258727e-05,1.3221419573507422e-06,1.2255008040579418e-05,1.376677354071651e-06,2984.2583938164103
9,4500,4415.434,0.3191338277273418,-0.097805,1e-05,7.683785,1.1180339887274289e-05,26.95731,1.000000000139778e-05,0.0032385699899168904,0.10927573049114767,5.445414113368933e-05,0.12939622761872094,0.1291683724411112,5.221902014993743e-05,13.762,0.017204650534084886,4.2252,0.017837040113202716,0.8000152358240594,-0.18520249999999905,0.3144623135818771,0.12925981358187805,5.221902014993743e-05,0.15887402591763844,0.0021561487139661,0.9833036099058449,0.01083998503619992,1.2959265650865372e-05,1.4544613118672154e-06,1.1218854387981801e-05,1.2584548796782898e-06,3416.197227799282
