,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_infty (extrap) [g],M_infty (final) [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume error [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (exp) [cm^2/s],diffusion time constant [s]
0,0,0.0,0.0,0.00193,1e-05,8.0155025,1e-05,27.737090000000002,1e-05,0.0,0.0,-0.0004100500748390895,-2.500000000793534e-06,25.157,0.138351002887583,3.5998999999999994,0.013095419046368895,0.7385235953349422,0.0,0.0,0.0,0.0,,1.0138368386725343,,0.0,1.3346593152769152e-06,24471.086934096187
1,50,50.08860000000001,0.2885561297217581,0.001175,1e-05,8.0124575,1e-05,27.73071,1e-05,-0.0001568895812281121,-2.500000000793534e-06,7.979283801540168e-05,6.562550391375328e-05,,,3.6063,0.020751144546747296,0.7398365626424074,-0.0022900000000003473,0.0023973096981332685,0.00010730969813292114,0.00014729184179778157,3.814872352261329e-05,1.015489669964032,0.01226755642592265,0.0003151669857052959,3.0476930344503402e-05,1075.4625438440883
2,100,99.8066,0.003199999999995029,0.00037999999999999997,1e-05,8.009960000000001,1e-05,27.724759999999996,1e-05,0.00012211694454151287,6.562550391375328e-05,0.0008804842070111977,0.0007763560904905885,,,3.6275,0.015127788999057342,0.7441857668483854,-0.003992499999998955,0.00479205315455003,0.0007995531545510748,0.0010964140839794694,4.5357189963128994e-05,1.020489696307627,0.011645163409248267,1.4928803469288067e-05,1.4285674614720802e-05,2321.43696927384
3,200,200.4638,0.042399999999997814,-0.0012,1e-05,8.004935,1e-05,27.71268,1e-05,0.0008658260684869768,0.0007763560904905885,0.0023496994803168135,0.002220791283144887,24.557,0.11463420083029267,3.6277,0.01138463877336466,0.7442267970767438,-0.007437499999999986,0.00965880464364851,0.0022213046436485237,0.0030401114301969218,7.687932380018283e-05,1.0185601506399469,0.011281670971021193,1.3786947440403631e-05,1.099892257932509e-05,3015.4726446269465
4,550,549.8776,0.2616055045292394,-0.0066099999999999996,1e-05,7.9872425,1e-05,27.670170000000002,1e-05,0.0019131753326248411,0.002220791283144887,0.007264545060716022,0.007137392648225702,23.897,0.17894412535760967,3.6597999999999993,0.01545833108715169,0.7508121487282483,-0.019720000000000404,0.02688096063100345,0.007160960631003046,0.009734788065391903,0.0002041934148673845,1.0206727171696823,0.011669128546404684,1.637229296487005e-05,1.166718384234653e-05,2893.2867125325224
5,1050,1046.3322,0.26073695557010884,-0.01456,1e-05,7.9611374999999995,1e-05,27.60768,1e-05,0.006759857303639792,0.007137392648225702,0.014488590685838099,0.014330501965798612,22.874,0.10818502669038867,3.7068000000000003,0.008009993757800427,0.7604542523924454,-0.03787500000000055,0.05224883511140106,0.014373835111400515,0.01935041133986667,0.0003825831996220947,1.0237422702361054,0.011104035813120819,1.7236354453534922e-05,1.1956807607327703e-05,2896.1821703946803
6,1550,1541.6005,0.05349999999998545,-0.02266,1e-05,7.93413,1e-05,27.542959999999997,1e-05,0.013819879501670896,0.014330501965798612,0.02191879177797321,0.021813838331854535,21.951999999999998,0.086694867206773,3.7407000000000004,0.012434226956268628,0.7674088760991746,-0.056782500000000624,0.078615573924924,0.021833073924923382,0.02910000583715967,0.0005765536760799261,1.022833653692788,0.011400194788484861,1.7474230304213508e-05,1.2361286369375267e-05,2852.8891659376386
7,2030,2032.9815999999998,0.042799999999988354,-0.031010000000000003,1e-05,7.906015999999999,1e-05,27.475929999999998,1e-05,0.02137485930580271,0.021813838331854535,0.029450198757905544,0.029346541080018107,21.129,0.20181427105138022,3.7741999999999996,0.01100727032465361,0.7742814393491871,-0.07654650000000096,0.10593924300475796,0.029392743004757,0.03878504751040547,0.0007679101540165726,1.0216992135345495,0.011283519418296062,1.792038057361237e-05,1.490386077654097e-05,2408.76173648566
8,2530,2525.6233,0.057621263436323525,-0.03971,1e-05,7.8764725,1e-05,27.405890000000003,1e-05,0.02901399848502693,0.029346541080018107,0.037425722316676936,0.03731889918436397,20.046,0.07657675887630681,3.8236000000000003,0.006374950980203752,0.7844159057536836,-0.09738999999999987,0.13474683889099273,0.037356838890992866,0.0487813877604626,0.0009610074311554557,1.0243076662803767,0.011061596257085892,1.8491433380437998e-05,1.5837595359597262e-05,2326.475434640736
9,3020,3016.7155,0.3972126005051558,-0.0488,1e-05,7.845470000000001,1e-05,27.33282,1e-05,0.037062292697134576,0.03731889918436397,0.04554546272686605,0.04582428330129769,19.193,0.09899999999999992,3.8568999999999996,0.02064194758253213,0.7912474387753379,-0.11930249999999987,0.16474416157870492,0.04544166157870505,0.05871881380799466,0.001220226437758332,1.0224342468866587,0.012232359987681246,1.6846094010401285e-05,1.4084203493970463e-05,2661.8726527223635
10,3510,3507.7771999999995,1.0455387893331605,-0.05826,1e-05,7.812869999999999,1e-05,27.256240000000002,1e-05,0.04571076448424607,0.04582428330129769,0.05417190215232585,0.05402533632857107,18.201,0.0639452891149926,3.9126,0.01588836051957534,0.8026743573731201,-0.14244250000000136,0.19656691402341392,0.05412441402341256,0.06916251300620016,0.0014200046480407251,1.0256919485086287,0.011767211264003841,1.8671458579418228e-05,1.5549618323680675e-05,2481.155456915968
11,4000,3995.9256,0.3708000000001196,-0.06808,1e-05,7.778510000000001,1e-05,27.175775,1.5000000002984848e-05,0.05428913444194816,0.05402533632857107,0.06307170842374862,0.06311421715048855,17.354999999999997,0.07283543093852071,3.9686999999999997,0.011883181392202985,0.8141833364276189,-0.1669824999999996,0.22999453440607867,0.06301203440607908,0.07961530818134,0.0016280467149641206,1.0287155121521177,0.01149556861386519,1.7346166251538818e-05,1.7509470473250173e-05,2267.077351331425
12,4500,4484.8559,0.9655218744283347,-0.07842,1e-05,7.742030000000001,1e-05,27.09075,2.000000000279556e-05,0.06318929306578186,0.06311421715048855,0.07233544870018456,0.0721832216971217,16.426,0.25314817795117556,4.023899999999999,0.013917255476565775,0.8255076794545053,-0.19312249999999942,0.2654418833531383,0.07231938335313887,0.09031302389792838,0.0018793285875322494,1.0309005874462047,0.01170755695432786,1.9693034332097392e-05,1.97427715293377e-05,2066.945602037825
13,4970,4972.5922,1.0291756701360186,-0.08939,1e-05,7.7031125000000005,1.299038105687305e-05,27.000590000000003,1e-05,0.07267051536208784,0.0721832216971217,0.08161471086504765,0.08153473536669467,15.461000000000002,0.058898217290508904,4.0632,0.01442081828468838,0.8335701193269084,-0.2210700000000001,0.30270062248384116,0.08163062248384106,0.10076923413845361,0.0021307180659553863,1.0290038219652136,0.011772926943023947,1.7469008974729846e-05,1.7788576042848075e-05,2339.0420161813054
14,5340,5336.798,0.37984523164056044,-0.097975,1e-05,7.672255,1.1180339887770796e-05,26.929455000000004,1.4999999999432134e-05,0.0856178627350473,0.08153473536669467,0.08914431469639279,0.08840942111137165,,,4.1089,0.021374985380111775,0.8429455265067763,-0.24334250000000068,0.332445817994961,0.0891033179949603,0.10898854532549028,0.0023914598262719227,1.0310660566848848,0.012495986214491064,4.0987080253201895e-06,1.901638280975074e-05,2237.515437169516
15,4600,4602.4948,0.6166251373405796,-0.081065,1e-05,7.732915,1.1180339887671495e-05,27.069335000000002,1e-05,0.07981110865818922,0.08840942111137165,0.0742527964494709,0.07424831694548469,,,4.0102,0.01284367548640171,0.822697108811963,-0.1995925000000005,0.27380249100602494,0.07420999100602443,0.09245574128936433,0.0019252847362695251,1.0249707623014266,0.011573180737118065,5.369586413295793e-06,3.305897714044674e-05,1225.9858599974166
16,3850,3863.2886999999996,0.4589993572978052,-0.06542,1e-05,7.787965,1.1180339887274289e-05,27.1976,1e-05,0.0749616163113456,0.07424831694548469,0.060335062632889444,0.06020757627904527,,,3.9442999999999997,0.01866038584810084,0.8091776485679082,-0.16018750000000104,0.2205890083121991,0.060401508312198066,0.07656948041352529,0.0016008562208634132,1.0257742537295287,0.012057628915806076,3.969759401216373e-05,2.232756110425905e-05,1756.068289806633
17,3120,3122.8043,0.09587809968902444,-0.05085,1e-05,7.83846,1e-05,27.31622,1e-05,0.060308933057356295,0.06020757627904527,0.04715295715939604,0.04695443759494775,,,3.8708,0.009947864092356736,0.7940990396462386,-0.12426250000000039,0.17149605935182977,0.04723355935182938,0.06089327295131957,0.0012213434196339402,1.0237485854363486,0.011266231838350254,0.013137365524348549,1.958073970724745e-05,1928.4801749930712
18,2380,2380.0343000000003,0.03209999999999127,-0.03714,1e-05,7.8851474999999995,1e-05,27.426825,1e-05,0.04745340366722076,0.04695443759494775,0.03449836321323087,0.034556321715428454,,,3.7848999999999995,0.010520931517693687,0.7764765565663553,-0.09128500000000095,0.12588159477790198,0.03459659477790103,0.045340424329288934,0.0009059468649657918,1.017608142722525,0.01121442269295814,2.8424142397649117e-05,1.8513800820934153e-05,1950.0962187048651
19,1630,1634.0703999999998,0.042799999999988354,-0.02422,1.0000000000001327e-05,7.9286175,1e-05,27.5303,1e-05,0.03559340944618811,0.034556321715428454,0.022692320856763336,0.022822693829088588,,,3.7253999999999996,0.012682271089990229,0.7642700636297657,-0.060735000000001094,0.08354366962323091,0.02280866962322982,0.0303608407147531,0.0006116059118874523,1.0173272728403766,0.01136548463025319,2.628206112083815e-05,1.6599595736115076e-05,2107.128965506626
20,890,887.1776,0.04279999999998836,-0.012045,1e-05,7.969165,1.1180339887671495e-05,27.62749,1e-05,0.02315254459664932,0.022822693829088588,0.011398863939648441,0.011523861803874599,,,3.6625,0.009340770846134603,0.7513660568110854,-0.032362500000000516,0.04391046509171585,0.011547965091715337,0.015605522825318427,0.00032264225873273494,1.0153702454596867,0.011096708331140325,1.8981273597052227e-05,1.2849164902058442e-05,2631.014079096625
21,690,688.0959999999999,1.1368683772161603e-13,-0.0089,1e-05,7.9795050000000005,1e-05,27.652409999999996,1e-05,0.011633886561504367,0.011523861803874599,0.008464624930282416,0.008579405564895675,,,3.6478,0.011391224692718537,0.7483503350267514,-0.02516750000000023,0.03377736625676804,0.00860986625676781,0.011681457711183755,0.00025073988647919906,1.0153262003220618,0.011244083805918641,1.52777943082397e-05,1.2930239248225226e-05,2593.571859579304
22,500,488.90740000000005,0.04280000000003383,-0.0058200000000000005,1e-05,7.9896825,1e-05,27.67693,1e-05,0.008568794485245891,0.008579405564895675,0.005551903336877265,0.0057108625209534285,,,3.6422,0.012302845199383714,0.7472014886327194,-0.018070000000000697,0.023819973851958724,0.005749973851958027,0.007831679712891317,0.00017897098539555688,1.0177164089145108,0.011345042540074617,1.3716835125297396e-05,1.0869580204119059e-05,3075.7966297819103
23,290,289.87840000000006,0.031799999999998364,-0.0028250000000000003,1e-05,7.99962,1e-05,27.701009999999997,1e-05,0.005276048832499066,0.0057108625209534285,0.002701772686734428,0.002839409833334536,,,3.6053000000000006,0.014581152217846059,0.7396314115006161,-0.011127500000000623,0.013989192136677103,0.00286169213667648,0.003913125888754437,0.0001083131669845256,1.0113844139224577,0.011495756110932452,9.41012049475297e-06,1.1912999243405512e-05,2749.8215492804898
