pressure [psi],temperature [C],w co2 vap [w/w],w c5 vap [w/w],w co2 liq [w/w],w c5 liq [w/w],density co2 vap [g/mL],density c5 vap [g/mL],density co2 liq [g/mL],density c5 liq [g/mL]
14.5,33,0.244837182,0.755162818,0.00238407,0.99761593,0.000602731,0.001859033,0.001770696,0.740949335
290,33,0.938619036,0.061380964,0.143996655,0.856003345,0.037106778,0.002426597,0.109870925,0.653139336
580,33,0.962313515,0.037686485,0.333440351,0.666559649,0.086316312,0.003380352,0.262333074,0.52441356
870,33,0.969692194,0.030307806,0.659733742,0.340266258,0.160198925,0.00500703,0.526979029,0.271796288
1015,33,0.976570126,0.023429874,0.882786542,0.117213458,0.222791553,0.005345216,0.646241075,0.085805739
1087.5,33,0.984544201,0.015455799,0.95206132,0.04793868,0.271778035,0.004266489,0.632216505,0.03183369
1160,33,0.998458103,0.001541897,0.997362387,0.002637613,0.357702662,0.000552392,0.557178802,0.001473508
14.5,37,0.167864602,0.832135398,0.001625906,0.998374094,0.00042624,0.00211295,0.001201015,0.737473379
290,37,0.929634156,0.070365844,0.135203828,0.864796172,0.036293937,0.00274716,0.102376224,0.654822931
580,37,0.956630595,0.043369405,0.307946512,0.692053488,0.084013221,0.003808788,0.239607825,0.538474783
870,37,0.963950648,0.036049352,0.573913326,0.426086674,0.153125527,0.005726513,0.454668491,0.33755652
1015,37,0.967118853,0.032881147,0.788461667,0.211538333,0.208025292,0.007072668,0.59654821,0.160049397
1087.5,37,0.970829607,0.029170393,0.880980656,0.119019344,0.248302604,0.007460717,0.618754914,0.083592986
1160,37,0.977496671,0.022503329,0.946007613,0.053992387,0.309367255,0.007122063,0.585075229,0.033392552
14.5,41,0.0895142,0.9104858,0.000866702,0.999133298,0.000235213,0.002392444,0.000636689,0.733973985
290,41,0.919731191,0.080268809,0.12724772,0.87275228,0.035491293,0.003097474,0.095633377,0.655919396
580,41,0.950417918,0.049582082,0.286256123,0.713743877,0.081836433,0.004269302,0.220432058,0.549619793
870,41,0.958237965,0.041762035,0.511085631,0.488914369,0.146934139,0.0064037,0.400495772,0.383121978
