Temperature (C),Pressure (MPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Pressure (kPa)
30.5,0,0,infinite,19.984,22.508,477.39,29.077,37.392,271.61,undefined,15.191,0.017043,vapor,0
30.5,0.1,0.0017514,570.98,19.956,22.469,121.24,29.177,37.673,270.88,10.435,15.198,0.017086,vapor,100
30.5,0.2,0.0035194,284.14,19.929,22.43,115.39,29.278,37.962,270.16,10.439,15.206,0.017131,vapor,200
30.5,0.3,0.0053046,188.52,19.901,22.39,111.93,29.38,38.257,269.43,10.443,15.214,0.017176,vapor,300
30.5,0.4,0.0071072,140.7,19.873,22.35,109.44,29.483,38.559,268.69,10.447,15.223,0.017223,vapor,400
30.5,0.5,0.0089277,112.01,19.844,22.309,107.49,29.587,38.868,267.95,10.451,15.233,0.017272,vapor,500
30.5,0.6,0.010767,92.879,19.816,22.268,105.88,29.693,39.185,267.21,10.455,15.243,0.017321,vapor,600
30.5,0.7,0.012624,79.211,19.787,22.227,104.5,29.8,39.51,266.46,10.459,15.253,0.017372,vapor,700
30.5,0.8,0.014502,68.958,19.758,22.186,103.3,29.908,39.843,265.71,10.463,15.265,0.017425,vapor,800
30.5,0.9,0.016399,60.981,19.729,22.144,102.22,30.017,40.185,264.95,10.467,15.277,0.017479,vapor,900
30.5,1,0.018316,54.597,19.699,22.102,101.24,30.128,40.537,264.19,10.47,15.289,0.017535,vapor,1000
30.5,1.1,0.020254,49.372,19.669,22.059,100.35,30.24,40.897,263.42,10.474,15.303,0.017593,vapor,1100
30.5,1.2,0.022214,45.016,19.639,22.016,99.527,30.353,41.267,262.65,10.477,15.317,0.017652,vapor,1200
30.5,1.3,0.024196,41.329,19.608,21.973,98.759,30.468,41.648,261.87,10.481,15.331,0.017713,vapor,1300
30.5,1.4,0.026201,38.167,19.577,21.929,98.039,30.585,42.04,261.09,10.484,15.347,0.017776,vapor,1400
30.5,1.5,0.028229,35.424,19.546,21.884,97.36,30.703,42.443,260.31,10.487,15.363,0.017841,vapor,1500
30.5,1.6,0.030281,33.024,19.514,21.84,96.717,30.823,42.858,259.51,10.49,15.38,0.017908,vapor,1600
30.5,1.7,0.032359,30.904,19.482,21.795,96.106,30.945,43.286,258.71,10.493,15.398,0.017978,vapor,1700
30.5,1.8,0.034461,29.018,19.45,21.749,95.521,31.068,43.726,257.91,10.496,15.416,0.018049,vapor,1800
30.5,1.9,0.036591,27.329,19.417,21.703,94.961,31.194,44.181,257.1,10.498,15.436,0.018123,vapor,1900
30.5,2,0.038747,25.808,19.384,21.656,94.423,31.321,44.65,256.29,10.501,15.456,0.0182,vapor,2000
30.5,2.1,0.040932,24.431,19.351,21.609,93.904,31.451,45.135,255.46,10.503,15.478,0.018279,vapor,2100
30.5,2.2,0.043145,23.178,19.317,21.561,93.402,31.583,45.636,254.63,10.505,15.5,0.018361,vapor,2200
