Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
34,0,0,infinite,20.086,22.639,477.72,29.235,37.55,273,undefined,15.36,0.017328,vapor
34,100,0.0017311,577.66,20.059,22.601,121.68,29.33,37.82,272.31,10.136,15.367,0.01737,vapor
34,200,0.0034781,287.51,20.032,22.563,115.83,29.426,38.097,271.6,10.14,15.375,0.017414,vapor
34,300,0.0052413,190.79,20.005,22.524,112.37,29.523,38.379,270.9,10.143,15.383,0.017459,vapor
34,400,0.0070211,142.43,19.978,22.485,109.88,29.621,38.668,270.19,10.147,15.392,0.017506,vapor
34,500,0.0088178,113.41,19.95,22.445,107.94,29.72,38.964,269.48,10.15,15.401,0.017553,vapor
34,600,0.010632,94.056,19.922,22.406,106.33,29.82,39.267,268.76,10.154,15.411,0.017602,vapor
34,700,0.012464,80.231,19.894,22.366,104.96,29.921,39.577,268.04,10.157,15.421,0.017652,vapor
34,800,0.014314,69.86,19.866,22.325,103.75,30.024,39.895,267.31,10.16,15.433,0.017704,vapor
34,900,0.016183,61.792,19.837,22.285,102.68,30.127,40.22,266.59,10.164,15.444,0.017757,vapor
34,1000,0.018071,55.336,19.808,22.244,101.71,30.232,40.554,265.85,10.167,15.457,0.017812,vapor
34,1100,0.019979,50.052,19.779,22.202,100.82,30.337,40.896,265.12,10.17,15.47,0.017868,vapor
34,1200,0.021907,45.647,19.75,22.16,100,30.445,41.247,264.38,10.172,15.483,0.017926,vapor
34,1300,0.023856,41.918,19.72,22.118,99.236,30.553,41.607,263.63,10.175,15.498,0.017986,vapor
34,1400,0.025826,38.72,19.69,22.076,98.521,30.663,41.977,262.88,10.178,15.513,0.018047,vapor
34,1500,0.027818,35.948,19.66,22.033,97.846,30.774,42.358,262.13,10.18,15.528,0.018111,vapor
34,1600,0.029833,33.52,19.629,21.989,97.208,30.887,42.749,261.37,10.182,15.545,0.018176,vapor
34,1700,0.031871,31.377,19.598,21.946,96.601,31.001,43.151,260.61,10.185,15.562,0.018243,vapor
34,1800,0.033932,29.471,19.567,21.902,96.022,31.117,43.564,259.84,10.187,15.581,0.018313,vapor
34,1900,0.036018,27.764,19.535,21.857,95.467,31.235,43.99,259.06,10.188,15.6,0.018384,vapor
34,2000,0.038129,26.227,19.504,21.812,94.933,31.354,44.429,258.29,10.19,15.619,0.018458,vapor
34,2100,0.040266,24.835,19.471,21.766,94.419,31.475,44.881,257.5,10.191,15.64,0.018535,vapor
34,2200,0.04243,23.568,19.439,21.72,93.923,31.598,45.347,256.71,10.192,15.662,0.018614,vapor
34,2300,0.044622,22.41,19.406,21.674,93.443,31.722,45.829,255.92,10.193,15.685,0.018695,vapor
34,2400,0.046842,21.348,19.372,21.627,92.976,31.849,46.325,255.12,10.194,15.708,0.018779,vapor
34,2500,0.049092,20.37,19.338,21.58,92.523,31.978,46.839,254.31,10.194,15.733,0.018867,vapor
34,2600,0.051372,19.466,19.304,21.532,92.081,32.108,47.369,253.5,10.194,15.759,0.018957,vapor
34,2700,0.053684,18.628,19.27,21.483,91.65,32.241,47.918,252.68,10.194,15.786,0.01905,vapor
34,2800,0.056028,17.848,19.234,21.434,91.229,32.377,48.487,251.86,10.194,15.814,0.019147,vapor
34,2900,0.058406,17.121,19.199,21.384,90.817,32.515,49.075,251.03,10.193,15.843,0.019248,vapor
34,3000,0.060819,16.442,19.163,21.334,90.412,32.655,49.686,250.19,10.192,15.873,0.019352,vapor
34,3100,0.063268,15.806,19.126,21.283,90.016,32.798,50.319,249.34,10.19,15.905,0.01946,vapor
34,3200,0.065755,15.208,19.089,21.231,89.625,32.943,50.977,248.49,10.188,15.938,0.019572,vapor
34,3300,0.068281,14.645,19.052,21.179,89.241,33.092,51.661,247.63,10.186,15.973,0.019689,vapor
34,3400,0.070847,14.115,19.014,21.126,88.863,33.243,52.372,246.77,10.183,16.009,0.01981,vapor
34,3500,0.073456,13.614,18.975,21.072,88.489,33.398,53.113,245.89,10.179,16.047,0.019937,vapor
34,3600,0.076108,13.139,18.936,21.018,88.121,33.556,53.886,245.01,10.175,16.086,0.020068,vapor
34,3700,0.078806,12.689,18.896,20.963,87.756,33.717,54.691,244.12,10.171,16.127,0.020206,vapor
34,3800,0.081552,12.262,18.856,20.907,87.395,33.882,55.533,243.22,10.165,16.17,0.020349,vapor
34,3900,0.084348,11.856,18.815,20.85,87.037,34.051,56.413,242.32,10.16,16.215,0.020499,vapor
34,4000,0.087196,11.468,18.773,20.792,86.682,34.224,57.335,241.4,10.153,16.262,0.020655,vapor
34,4100,0.090099,11.099,18.731,20.733,86.329,34.401,58.301,240.48,10.146,16.311,0.020818,vapor
34,4200,0.093058,10.746,18.687,20.674,85.978,34.582,59.315,239.54,10.138,16.362,0.02099,vapor
34,4300,0.096078,10.408,18.643,20.613,85.629,34.768,60.381,238.6,10.129,16.415,0.021169,vapor
34,4400,0.099161,10.085,18.598,20.551,85.282,34.959,61.503,237.64,10.119,16.471,0.021358,vapor
34,4500,0.10231,9.7743,18.553,20.488,84.935,35.156,62.687,236.67,10.109,16.529,0.021556,vapor
34,4600,0.10553,9.4761,18.506,20.425,84.589,35.358,63.936,235.7,10.097,16.591,0.021764,vapor
34,4700,0.10882,9.1894,18.459,20.359,84.243,35.566,65.258,234.71,10.084,16.655,0.021984,vapor
34,4800,0.11219,8.9133,18.41,20.293,83.897,35.781,66.659,233.7,10.07,16.722,0.022215,vapor
34,4900,0.11564,8.6472,18.36,20.225,83.55,36.002,68.147,232.69,10.055,16.793,0.02246,vapor
34,5000,0.11919,8.3903,18.31,20.156,83.203,36.23,69.73,231.66,10.038,16.867,0.022719,vapor
34,5100,0.12282,8.1421,18.258,20.085,82.854,36.467,71.419,230.62,10.02,16.945,0.022993,vapor
34,5200,0.12655,7.9019,18.204,20.013,82.503,36.712,73.225,229.56,10.001,17.028,0.023284,vapor
34,5300,0.13039,7.6692,18.15,19.939,82.15,36.965,75.161,228.48,9.9791,17.114,0.023593,vapor
34,5400,0.13434,7.4435,18.094,19.863,81.795,37.229,77.243,227.39,9.9557,17.206,0.023922,vapor
34,5500,0.13842,7.2244,18.036,19.785,81.436,37.503,79.487,226.28,9.9303,17.302,0.024274,vapor
34,5600,0.14263,7.0113,17.977,19.705,81.074,37.789,81.916,225.15,9.9027,17.405,0.02465,vapor
34,5700,0.14698,6.8038,17.916,19.622,80.707,38.088,84.553,224,9.8726,17.513,0.025054,vapor
34,5800,0.15148,6.6016,17.853,19.538,80.335,38.4,87.427,222.83,9.8397,17.628,0.025488,vapor
34,5900,0.15615,6.404,17.787,19.45,79.957,38.728,90.574,221.63,9.8039,17.751,0.025955,vapor
34,6000,0.16101,6.2109,17.72,19.36,79.573,39.072,94.037,220.41,9.7648,17.881,0.026461,vapor
34,6100,0.16607,6.0217,17.65,19.267,79.181,39.435,97.866,219.16,9.722,18.021,0.02701,vapor
34,6200,0.17135,5.8361,17.577,19.17,78.78,39.82,102.13,217.88,9.675,18.171,0.027607,vapor
34,6300,0.17688,5.6535,17.501,19.069,78.37,40.227,106.89,216.56,9.6234,18.332,0.028261,vapor
34,6400,0.18269,5.4737,17.422,18.964,77.948,40.662,112.28,215.21,9.5666,18.506,0.028979,vapor
34,6500,0.18882,5.2961,17.339,18.854,77.513,41.127,118.4,213.81,9.5038,18.695,0.029772,vapor
34,6600,0.1953,5.1203,17.251,18.738,77.063,41.628,125.43,212.36,9.4342,18.901,0.030652,vapor
34,6700,0.2022,4.9456,17.159,18.617,76.595,42.17,133.6,210.85,9.3567,19.127,0.031638,vapor
34,6800,0.20958,4.7714,17.06,18.488,76.106,42.761,143.21,209.28,9.2699,19.376,0.032748,vapor
34,6900,0.21753,4.5971,16.955,18.351,75.592,43.41,154.71,207.62,9.1722,19.653,0.034012,vapor
34,7000,0.22616,4.4217,16.841,18.204,75.048,44.129,168.71,205.87,9.0613,19.964,0.035468,vapor
34,7100,0.23563,4.244,16.718,18.044,74.467,44.937,186.17,204,8.9345,20.318,0.037167,vapor
34,7200,0.24615,4.0625,16.583,17.87,73.84,45.857,208.57,201.99,8.7877,20.726,0.039187,vapor
34,7300,0.25805,3.8752,16.431,17.676,73.152,46.924,238.42,199.77,8.6153,21.208,0.041643,vapor
34,7400,0.27182,3.6789,16.258,17.456,72.382,48.191,280.28,197.3,8.4088,21.79,0.044723,supercritical
34,7500,0.2883,3.4687,16.055,17.2,71.497,49.744,343.29,194.45,8.1541,22.524,0.048759,supercritical
34,7600,0.30904,3.2358,15.805,16.888,70.432,51.738,448.71,191.04,7.8259,23.505,0.054398,supercritical
34,7700,0.33753,2.9627,15.474,16.478,69.053,54.466,656.97,186.69,7.3726,24.956,0.063103,supercritical
34,7800,0.38366,2.6065,14.967,15.862,67.007,58.443,1195.9,180.43,6.6799,27.566,0.078657,supercritical
34,7900,0.47347,2.1121,14.094,14.828,63.609,59.886,1877,177.77,5.5042,33.613,0.093907,supercritical
34,8000,0.54647,1.8299,13.469,14.114,61.254,54.528,989.52,195.63,4.4458,39.561,0.084016,supercritical
34,8100,0.58175,1.7189,13.18,13.792,60.183,51.72,625.84,211.91,3.851,42.815,0.078867,supercritical
34,8200,0.60417,1.6552,12.997,13.594,59.512,50.125,478.39,225,3.4622,45.026,0.076762,supercritical
34,8300,0.62067,1.6112,12.861,13.45,59.02,49.001,397.58,236.22,3.176,46.731,0.075733,supercritical
34,8400,0.63378,1.5778,12.753,13.336,58.628,48.126,346.3,246.17,2.9516,48.135,0.075237,supercritical
34,8500,0.6447,1.5511,12.662,13.243,58.3,47.412,310.71,255.16,2.7683,49.339,0.075046,supercritical
34,8600,0.65408,1.5289,12.584,13.163,58.018,46.813,284.46,263.41,2.6143,50.4,0.075044,supercritical
34,8700,0.66232,1.5098,12.515,13.093,57.769,46.302,264.22,271.02,2.4821,51.353,0.075162,supercritical
34,8800,0.66969,1.4932,12.453,13.031,57.546,45.859,248.08,278.12,2.3669,52.221,0.075359,supercritical
34,8900,0.67636,1.4785,12.396,12.975,57.343,45.471,234.87,284.76,2.2651,53.023,0.075609,supercritical
34,9000,0.68247,1.4653,12.344,12.924,57.156,45.13,223.84,291.01,2.1741,53.768,0.075896,supercritical
34,9100,0.6881,1.4533,12.296,12.878,56.983,44.826,214.46,296.92,2.0922,54.467,0.076206,supercritical
34,9200,0.69334,1.4423,12.25,12.834,56.821,44.555,206.38,302.53,2.0177,55.126,0.076533,supercritical
34,9300,0.69824,1.4322,12.208,12.794,56.67,44.31,199.33,307.86,1.9497,55.751,0.07687,supercritical
34,9400,0.70285,1.4228,12.168,12.756,56.527,44.09,193.12,312.96,1.8871,56.346,0.077213,supercritical
34,9500,0.7072,1.414,12.13,12.721,56.392,43.889,187.59,317.83,1.8293,56.914,0.077559,supercritical
34,9600,0.71132,1.4058,12.094,12.688,56.263,43.706,182.65,322.52,1.7756,57.459,0.077907,supercritical
34,9700,0.71524,1.3981,12.059,12.656,56.14,43.538,178.18,327.02,1.7255,57.983,0.078255,supercritical
34,9800,0.71898,1.3909,12.026,12.626,56.022,43.384,174.13,331.36,1.6787,58.489,0.078601,supercritical
34,9900,0.72256,1.384,11.995,12.598,55.909,43.242,170.44,335.55,1.6348,58.977,0.078945,supercritical
34,10000,0.72598,1.3774,11.964,12.57,55.801,43.11,167.05,339.61,1.5934,59.449,0.079286,supercritical
