pi,Ti,m_co2i,m_polyi,m_c5i,pf,Tf,m_co2f,m_polyf,m_c5f,duration [min],m_co2_expi,m_co2_expf,dm,leak rate [g/min],,,
380,41,64.32065488,83.989,79.1151715,340,38,63.87703471,81.40233295,76.96636524,1049,63.5,57.5,6,0.005719733,,6.377034713,15.81678681
785,36,181.8167868,81.40233295,76.96636524,745,41,179.5593701,77.59538575,74.11732182,391,166,145.5,20.5,0.052429668,,34.05937013,43.52466072
900,40,238.0246607,77.59538575,74.11732182,875,40,237.4703483,74.89006153,73.60131216,1009,194.5,185.5,9,0.008919722,,51.97034829,69.49577083
990,37,307.9957708,74.89006153,73.60131216,975,37,304.2683209,69.39874814,71.42435672,355,238.5,231.5,7,0.01971831,,72.76832088,111.7066871
1040,35,384.7066871,69.39874814,71.42435672,1030,36,381.8782697,67.24895305,70.30327944,3974,273,262,11,0.002767992,,119.8782697,180.9174774
1100,36,485.9174774,67.24895305,70.30327944,1085,36,483.9026491,65.62261296,69.67899401,269,305,294.5,10.5,0.039033457,,189.4026491,231.4026491
970,31,483.9026491,65.62261296,69.67899401,970,31,481.003044,63.25900242,68.72987855,6,252.5,252.5,0,0,,228.503044,251.503044
930,32,481.003044,62.88445508,113.2568666,900,30,479.1445725,61.54857882,112.3896232,246,229.5,223,6.5,0.026422764,,256.1445725,275.1445725
880,33,479.1445725,61.54857882,134.7482679,810,31,477.4172418,60.40219654,133.609605,947,204,183,21,0.02217529,,294.4172418,356.0844927
980,27,644.0844927,60.40219654,133.609605,855,21,643.1005119,59.8369347,133.148719,219,288,247,41,0.187214612,,396.1005119,463.6714503
895,21,739.6714503,59.8369347,133.148719,740,38,737.0858381,58.004054,131.6500052,1209,276,146.5,129.5,0.107113317,,590.5858381,661.1003734
1070,38,933.1003734,58.004054,131.6500052,1070,42,931.1074605,56.63244922,130.9632362,263,272,253,19,0.072243346,,678.1074605,745.1074605
880,42,931.1074605,56.63244922,130.9632362,870,43,929.7522949,55.99608449,130.2771316,993,186,180.5,5.5,0.005538771,,749.2522949,929.7522949
15,22,929.7522949,55.99608449,130.2771316,15,22,929.7001801,55.15606377,129.4431317,170,,,0,0,,,
