,date,time,elapsed time [min],pressure (parr) [psi],temperature (parr) [C],mass co2 [g],mass co2 (leak) [g],mass co2 [g] (corr),mass c5 [g],mass poly [g],pressure (isco) [psi],temperature (isco) [C],volume (isco) [mL],mass co2 (isco) [g],mass co2 leak (isco) [g],mass co2 (refill) [g],peak area (back) co2 [a.u.],peak area (back) c5 [a.u.],peak area (front) co2 [a.u.],peak area (front) c5 [a.u.],volume sampled (vap) [mL],density co2 (vap) [g/mL],density c5 (vap) [g/mL],density co2 (liq) [g/mL],density c5 (liq) [g/mL],density poly (liq) [g/mL],density co2 (tot) [g/mL],density co2 (tot) [g/mL] (corr),density c5 (tot) [g/mL],density poly (tot) [g/mL],w co2 (vap) [w/w],w c5 (vap) [w/w],w co2 (liq) [w/w],w c5 (liq) [w/w],w poly (liq) [w/w],w co2 (tot) [w/w],w c5 (tot) [w/w],w poly (tot) [w/w],w co2 (tot) [w/w] (corr),w c5 (tot) [w/w] (corr),w poly (tot) [w/w] (corr),liquid volume [mL],mass c5 (pred) [g],mass c5 (missing) [g],mass co2 (pred) [g],mass co2 (missing) [g],is error
0,10/9/2019,8:30:28,997,830,32,479.81321077495386,,,133.72648212648807,62.15421854401139,0,21,0,0.0,0,0.0,73600000,3500000,313000000,928000000,79.97168030613895,0.1504859112570361,0.004304969122274255,0.3268478338812439,0.2816619898648645,0.2875927305440159,0.3998443423124616,,0.11143873510540672,0.05179518212000949,0.9721884835093316,0.027811516490668306,0.3647437810733244,0.31431892311476767,0.32093729581190794,0.7089975156270725,0.1976013612632637,0.09184237854200093,,,,216.11887903577843,65.10805136232086,68.6184307641672,218.69823453058177,261.1149762443721,False
1,10/9/2019,8:42:48,1009,810,31,479.112255267073,,,133.1619457876272,61.58302172536786,0,21,0,0.0,0,0.0,72100000,3540000,316000000,928000000,105.94118400236059,0.15135490595748785,0.00444080800802939,0.3298174932456548,0.2816619898648645,0.2855984093217682,0.39926021272256085,,0.110968288156356,0.05131918477113988,0.9714959552159933,0.028504044784006623,0.36765758695870415,0.3139771832980765,0.31836522974321935,0.7098883756245704,0.19730264953771962,0.09124598834213639,,,,215.62802773171475,65.10562629887964,68.05631948874755,220.10742286983185,259.00483239724116,False
2,10/9/2019,12:29:43,1236,855,21,644.9227415208816,,,132.7039914528052,61.017759878295664,1200,21,203.95,167.94360585809713,2.0998097324743696,0.0,76300000,2370000,401000000,753000000,70.11366322646525,0.17257753592703132,0.003977021777599353,0.41395784190396384,0.22864475728238493,0.2826309235360958,0.537435617934068,,0.11058665954400435,0.050848133231913055,0.9774742616146294,0.022525738385370742,0.4474090397048277,0.24712113392693696,0.3054698263682353,0.7680400432865693,0.15803750244464432,0.07266619692718389,,,,215.8920160429751,53.27639649105728,79.42759496174793,259.2051240028677,385.71761751801387,False
3,10/9/2019,14:50:56,1377,860,20,740.6123086311256,,,132.27667339349753,60.44744322043292,1350,21,84.55,70.9948122183055,2.4776650310933945,0.0,64800000,1020000,420000000,703000000,44.898908199017484,0.13508876180433949,0.0027641091956605436,0.4327656845452329,0.21349697654453362,0.28515832893136966,0.6171769238592714,,0.11023056116124795,0.05037286935036077,0.9799488456380387,0.020051154361961337,0.4646295168153903,0.2292164110878464,0.30615407209676343,0.7926147275373167,0.1415645381793799,0.064691787025584,,,,211.97852942594946,47.98777435712045,84.28889903637707,225.20763049186394,515.4046781392617,False
4,10/9/2019,16:40:26,1487,840,19,739.7228529957467,,,131.88520974856752,59.81448393209482,1350,21,84.35,70.82687653003039,2.6456007193685025,0.0,73800000,2190000,414000000,643000000,89.79781639803497,0.1347502327654702,0.0031026382345298066,0.4268263658164111,0.19531963965911206,0.31647964416905483,0.616435710829789,,0.10990434145713959,0.04984540327674568,0.9774931184818791,0.022506881518120914,0.45473545920893393,0.20809109545756843,0.33717344533349763,0.7932876797052794,0.141435284316526,0.06414577159417979,,,,188.99946658226,40.052076618723326,91.83313312984419,216.9025126666013,522.8203403291454,False
5,10/10/2019,9:09:04,2476,740,38,739.2355846081698,,,131.21600367658016,59.184879183425906,1350,21,81.28,68.24906371500735,5.22341353439154,0.0,67100000,5450000,208000000,1100000000,113.70696674135284,0.12210497580462959,0.004906015816060035,0.2229097561268621,0.333770355603073,0.3148023743344549,0.6160296538401415,,0.10934666973048346,0.04932073265285492,0.9613732972756284,0.03862670272437164,0.25578225574391206,0.3829914667710398,0.3612262774850481,0.7942865137949261,0.1409876692686761,0.06359238155573188,,,,188.00645741174182,67.71583847167969,63.50016520490047,165.4779206041073,573.7576640040625,False
6,10/10/2019,12:34:23,2681,1030,39,934.3409793289258,,,130.76784421041825,58.69160086707433,1350,21,12.22,10.26087055360962,6.348582645834821,0.0,122000000,4010000,427000000,737000000,46.15306051900468,0.2193492657288551,0.004162217236662126,0.4396948897288584,0.2237974674462725,0.24663915817578855,0.7786174827741048,,0.10897320350868188,0.048909667389228605,0.9813780608430563,0.018621939156943726,0.4831113771061155,0.24589574547364498,0.27099287742023953,0.830632150566176,0.116253036166108,0.05217702287167608,,,,237.96546055854895,57.260264155016614,73.50758005540163,315.65376677184776,618.687212557078,False
7,10/10/2019,15:53:01,2880,1070,42,933.5282301228415,,,130.53622951600212,57.81327440074186,1350,21,11.5,9.6563020758192,6.95315112362524,0.0,120000000,9190000,379000000,379000000,44.74797339091195,0.22317169802147993,0.007358049323347647,0.3921803398982838,0.11533935736325716,0.43916323316623457,0.7779401917690346,,0.1087801912633351,0.04817772866728488,0.9680819963232707,0.03191800367672914,0.4142678898003053,0.12183525619410823,0.4638968540055865,0.831330588940334,0.11624582638203543,0.051484188592575794,,,,131.64415878789663,23.044767649747804,107.49146186625433,290.05503811353265,643.4731920093088,False
8,10/11/2019,8:33:03,3880,870,43,853.0383232337873,,,127.27808249134057,57.17690967181102,273,21,507.95,19.241632352757016,6.95315112362524,9.585330276937816,361000000,92100000,237000000,1010000000,80.72949821602742,0.14122106073166962,0.01211677826833039,0.25161646331616755,0.30650435027494066,0.3181823644654201,0.7108652693614894,,0.1060650687427838,0.04764742472650918,0.9209798550224098,0.07902014497759025,0.2871340303411936,0.34976975771639707,0.3630962119424094,0.8213757707602726,0.12255385281038879,0.05505465226150594,,,,179.6985504456674,67.44115388080387,62.46915614038865,189.30316669830373,743.5713551801375,False
9,10/11/2019,12:50:14,4137,15,22,791.2648312914546,,,116.93065879160272,56.33688894812901,273,21,507.95,19.241632352757016,6.95315112362524,9.585330276937816,43700000,82100000,6660000,1370000000,20.0,0.026050000495268722,0.015212955504731281,0.023606017316698067,0.41556837158747006,0.4200103618410034,0.6593873594095455,,0.09744221565966894,0.04694740745677417,0.6313168764561783,0.36868312354382177,0.027474902570401246,0.48367754575141997,0.4888475516781788,0.8194648646405719,0.12109797211965188,0.05834468973023855,,,,134.13214069574684,71.95607560399174,57.120234469241666,30.932183898756392,901.8902231182456,False
